x_metric,y_metric,x_col,y_col,lag_days,correlation,p_value,significant,n
Sleep Score,Battery,sleep_score,body_battery_charged,2,0.07953568984732556,0.19767236079108283,False,264
HRV,Sleep Hours,hrv_last_night_avg,sleep_total_hours,2,-0.046003180459913834,0.4645409622018952,False,255
HRV,Sleep Score,hrv_last_night_avg,sleep_score,2,-0.07354467764235256,0.24190851471245065,False,255
HRV,HRV,hrv_last_night_avg,hrv_last_night_avg,2,0.39321887987102283,7.386821432749206e-11,True,255
HRV,Steps,hrv_last_night_avg,activity_steps,2,0.2415737080212698,7.328193505978476e-05,True,264
HRV,Active Cal,hrv_last_night_avg,activity_active_calories,2,0.06024214655086889,0.3295303980094078,False,264
HRV,Resting HR,hrv_last_night_avg,activity_resting_hr,2,-0.4200469153802846,1.0419022771401125e-12,True,264
HRV,Battery,hrv_last_night_avg,body_battery_charged,2,0.17718381940208547,0.0038755043324149394,True,264
Steps,Sleep Hours,activity_steps,sleep_total_hours,2,-0.03637313901136269,0.5562746292354418,False,264
Steps,Sleep Score,activity_steps,sleep_score,2,0.024088425846604825,0.6968398153305996,False,264
Steps,HRV,activity_steps,hrv_last_night_avg,2,0.23843296128714397,9.1434014918289e-05,True,264
Steps,Steps,activity_steps,activity_steps,2,0.17870023477020192,0.0029933272339429974,True,274
Steps,Active Cal,activity_steps,activity_active_calories,2,0.03409318496956815,0.5741664094704295,False,274
Steps,Resting HR,activity_steps,activity_resting_hr,2,-0.18168314546697056,0.002537729121139394,True,274
Steps,Battery,activity_steps,body_battery_charged,2,0.22262948041395222,0.00020315749751132145,True,274
Active Cal,Sleep Hours,activity_active_calories,sleep_total_hours,2,-0.03464201231832905,0.5752315941809396,False,264
Active Cal,Sleep Score,activity_active_calories,sleep_score,2,-0.013244386973916663,0.8304035216590887,False,264
Active Cal,HRV,activity_active_calories,hrv_last_night_avg,2,0.013699294826290245,0.8246709269496453,False,264
Active Cal,Steps,activity_active_calories,activity_steps,2,0.07897774950438836,0.1924469163638576,False,274
Active Cal,Active Cal,activity_active_calories,activity_active_calories,2,0.18013171250388754,0.002766157506912747,True,274
Active Cal,Resting HR,activity_active_calories,activity_resting_hr,2,0.13771006215003187,0.022610115836498718,True,274
Active Cal,Battery,activity_active_calories,body_battery_charged,2,0.1653688944722329,0.006074289762749185,True,274
Resting HR,Sleep Hours,activity_resting_hr,sleep_total_hours,2,0.12698008461220656,0.03923202927023636,True,264
Resting HR,Sleep Score,activity_resting_hr,sleep_score,2,0.05843437049179307,0.3442765099743401,False,264
Resting HR,HRV,activity_resting_hr,hrv_last_night_avg,2,-0.334103631334296,2.6446253439628872e-08,True,264
Resting HR,Steps,activity_resting_hr,activity_steps,2,-0.1673227595802117,0.005492671208223778,True,274
Resting HR,Active Cal,activity_resting_hr,activity_active_calories,2,0.17458048369940576,0.0037446850282290625,True,274
Resting HR,Resting HR,activity_resting_hr,activity_resting_hr,2,0.6496217903969337,3.0957913857550125e-34,True,274
Resting HR,Battery,activity_resting_hr,body_battery_charged,2,-0.1642138954470653,0.0064434974525109465,True,274
Battery,Sleep Hours,body_battery_charged,sleep_total_hours,2,0.1027620477239305,0.09567828467232033,False,264
Battery,Sleep Score,body_battery_charged,sleep_score,2,0.06936936581365166,0.26138489432549805,False,264
Battery,HRV,body_battery_charged,hrv_last_night_avg,2,0.1970890333010084,0.0012875013332529395,True,264
Battery,Steps,body_battery_charged,activity_steps,2,0.21913619343500323,0.00025688797359390626,True,274
Battery,Active Cal,body_battery_charged,activity_active_calories,2,0.13884821874784473,0.021505703219322946,True,274
Battery,Resting HR,body_battery_charged,activity_resting_hr,2,-0.20506375494268886,0.0006372194490343137,True,274
Battery,Battery,body_battery_charged,body_battery_charged,2,0.1907055647361407,0.0015167286511348235,True,274
Sleep Hours,Sleep Hours,sleep_total_hours,sleep_total_hours,3,0.04534076489535796,0.4718829647214932,False,254
Sleep Hours,Sleep Score,sleep_total_hours,sleep_score,3,-0.062845046703268,0.3184580974133897,False,254
Sleep Hours,HRV,sleep_total_hours,hrv_last_night_avg,3,-0.1606775462974623,0.010322518145264348,True,254
Sleep Hours,Steps,sleep_total_hours,activity_steps,3,0.015603537061549877,0.8011517137948252,False,263
Sleep Hours,Active Cal,sleep_total_hours,activity_active_calories,3,0.059214167489165914,0.33879044494701765,False,263
Sleep Hours,Resting HR,sleep_total_hours,activity_resting_hr,3,0.15743591297096382,0.010558361253157194,True,263
Sleep Hours,Battery,sleep_total_hours,body_battery_charged,3,-0.12609821723718043,0.04101363490969209,True,263
Sleep Score,Sleep Hours,sleep_score,sleep_total_hours,3,0.060863446150078174,0.3339865404019022,False,254
Sleep Score,Sleep Score,sleep_score,sleep_score,3,-0.012660005003290009,0.8408705082087388,False,254
Sleep Score,HRV,sleep_score,hrv_last_night_avg,3,-0.15483697187906117,0.013494687911036758,True,254
Sleep Score,Steps,sleep_score,activity_steps,3,0.07986005937147603,0.19670144907251558,False,263
Sleep Score,Active Cal,sleep_score,activity_active_calories,3,0.06653094875349619,0.2823734586196213,False,263
Sleep Score,Resting HR,sleep_score,activity_resting_hr,3,0.04745383956078279,0.44347514870111543,False,263
Sleep Score,Battery,sleep_score,body_battery_charged,3,0.009211218268803039,0.8818120866384193,False,263
HRV,Sleep Hours,hrv_last_night_avg,sleep_total_hours,3,-0.050560595791639885,0.42235512900257793,False,254
HRV,Sleep Score,hrv_last_night_avg,sleep_score,3,-0.08473627390561486,0.17822664561069945,False,254
HRV,HRV,hrv_last_night_avg,hrv_last_night_avg,3,0.37439656297074164,7.134483317953955e-10,True,254
HRV,Steps,hrv_last_night_avg,activity_steps,3,0.19778915907631373,0.001263103190334582,True,263
HRV,Active Cal,hrv_last_night_avg,activity_active_calories,3,0.011794916468567822,0.8490138001298959,False,263
HRV,Resting HR,hrv_last_night_avg,activity_resting_hr,3,-0.4235820985584696,7.106765101767389e-13,True,263
HRV,Battery,hrv_last_night_avg,body_battery_charged,3,0.2324121642459045,0.00014275324467959066,True,263
Steps,Sleep Hours,activity_steps,sleep_total_hours,3,-0.050513312447231284,0.414610416648499,False,263
Steps,Sleep Score,activity_steps,sleep_score,3,-0.03615123139155147,0.559440540577707,False,263
Steps,HRV,activity_steps,hrv_last_night_avg,3,0.20001129903294662,0.0011094058161631812,True,263
Steps,Steps,activity_steps,activity_steps,3,0.13986948495612175,0.020789006715116184,True,273
Steps,Active Cal,activity_steps,activity_active_calories,3,0.004331705739664359,0.9432039948958099,False,273
Steps,Resting HR,activity_steps,activity_resting_hr,3,-0.17550613389848402,0.003624183779992765,True,273
Steps,Battery,activity_steps,body_battery_charged,3,0.1765948342476242,0.0034172169684923547,True,273
Active Cal,Sleep Hours,activity_active_calories,sleep_total_hours,3,-0.016273380580189418,0.7928047848456485,False,263
Active Cal,Sleep Score,activity_active_calories,sleep_score,3,-0.04088725241226475,0.509127086444651,False,263
Active Cal,HRV,activity_active_calories,hrv_last_night_avg,3,0.028033484327708157,0.650872692862408,False,263
Active Cal,Steps,activity_active_calories,activity_steps,3,0.04084873052360245,0.5015101608749793,False,273
Active Cal,Active Cal,activity_active_calories,activity_active_calories,3,0.08518785759884497,0.16042943034956328,False,273
Active Cal,Resting HR,activity_active_calories,activity_resting_hr,3,0.15668948678801267,0.009511715180271779,True,273
Active Cal,Battery,activity_active_calories,body_battery_charged,3,0.15824223366389323,0.008815784857652463,True,273
Resting HR,Sleep Hours,activity_resting_hr,sleep_total_hours,3,0.13559641958647692,0.02789965890444354,True,263
Resting HR,Sleep Score,activity_resting_hr,sleep_score,3,0.10848016779036866,0.07907839142788686,False,263
Resting HR,HRV,activity_resting_hr,hrv_last_night_avg,3,-0.3377620687447155,1.9380847097922578e-08,True,263
Resting HR,Steps,activity_resting_hr,activity_steps,3,-0.1064302093790733,0.07918475688001513,False,273
Resting HR,Active Cal,activity_resting_hr,activity_active_calories,3,0.2156230309108691,0.0003324137402128991,True,273
Resting HR,Resting HR,activity_resting_hr,activity_resting_hr,3,0.6285008178568994,2.046007406169812e-31,True,273
Resting HR,Battery,activity_resting_hr,body_battery_charged,3,-0.11200844922697463,0.06460075889172509,False,273
Battery,Sleep Hours,body_battery_charged,sleep_total_hours,3,0.00438513636015176,0.9435755868551059,False,263
Battery,Sleep Score,body_battery_charged,sleep_score,3,-0.06079457859977047,0.32603338685331923,False,263
Battery,HRV,body_battery_charged,hrv_last_night_avg,3,0.18603286396355437,0.0024531504683353088,True,263
Battery,Steps,body_battery_charged,activity_steps,3,0.150493009546153,0.012798175159441203,True,273
Battery,Active Cal,body_battery_charged,activity_active_calories,3,0.09679597873787862,0.11054621827300032,False,273
Battery,Resting HR,body_battery_charged,activity_resting_hr,3,-0.19477770852278053,0.0012184595245359011,True,273
Battery,Battery,body_battery_charged,body_battery_charged,3,0.12636830610695524,0.036911720813857685,True,273
